ATK Ranking,Region,Tier,MSA,Population,ZEV,2021 DEMAND,2022 DEMAND,2023 DEMAND,2024 DEMAND,2025 DEMAND,2026 DEMAND,2027 DEMAND,2028 DEMAND,2029 DEMAND,Phase 1 BUILD,Phase 2 BUILD,Phase 3 BUILD,Phase 4 BUILD,Phase 5 BUILD,Sum Chargers,Phase Start,Latitude,Longitude
10,CEN,2,"Chicago-Naperville-Elgin, IL-IN-WI",9498716,0,36,31,40,42,40,44,45,48,60,0,32,-27,-35,0,-30,2,41.8781136,-87.6297982
25,CEN,2,"Minneapolis-St. Paul-Bloomington, MN-WI",3629190,0,8,7,8,8,8,9,9,10,12,0,0,-7,-16,0,-23,3,44.977753,-93.2650108
31,CEN,3,"Cincinnati, OH-KY-IN",2190209,0,3,3,3,3,3,3,4,4,5,0,12,-12,0,0,0,2,39.1031182,-84.5120196
33,CEN,3,"Columbus, OH",2106541,0,3,3,4,3,3,4,4,4,5,0,0,-1,0,0,-1,3,39.9611755,-82.9987942
34,CEN,3,"Kansas City, MO-KS",2143651,0,3,3,3,3,3,3,3,4,4,0,0,0,18,0,18,3,39.0997265,-94.5785667
30,CEN,3,"St. Louis, MO-IL",2805465,0,4,3,4,4,4,4,4,5,6,12,12,1,38,0,63,1,38.6270025,-90.1994042
29,CEN,3,"Pittsburgh, PA",2324743,1,4,4,4,5,4,5,5,5,6,0,8,-9,0,0,-1,2,40.4406248,-79.9958864
37,CEN,3,"Indianapolis-Carmel-Anderson, IN",2048703,0,4,4,5,5,5,5,5,5,6,0,8,-8,0,0,0,2,39.768403,-86.158068
21,CEN,3,"Detroit-Warren-Dearborn, MI",4326442,0,17,16,17,19,18,21,15,16,21,0,-1,0,0,0,-1,2,42.331427,-83.0457538
7,DSW,2,"Phoenix-Mesa-Chandler, AZ",4857962,0,17,15,19,18,17,19,20,22,27,8,-4,-5,0,0,-1,1,33.4483771,-112.0740373
26,DSW,2,"Las Vegas-Henderson-Paradise, NV",2231647,0,8,7,9,10,9,10,10,11,14,0,-26,8,0,0,-18,2,36.1699412,-115.1398296
12,FL,2,"Miami-Fort Lauderdale-Pompano Beach, FL",6198782,0,35,31,39,43,41,45,45,48,60,4,-38,-26,0,0,-60,1,25.7616798,-80.1917902
43,FL,3,"Jacksonville, FL",1534701,0,2,2,3,3,2,3,3,3,4,4,-6,4,0,0,2,1,30.3321838,-81.655651
75,FL,3,"North Port-Sarasota-Bradenton, FL",821573,0,3,3,3,3,3,3,3,4,4,4,-6,6,0,0,4,1,27.3364347,-82.5306527
22,FL,3,"Tampa-St. Petersburg-Clearwater, FL",3142663,0,7,6,7,7,7,8,8,9,11,4,-15,4,0,0,-7,1,27.950575,-82.4571776
24,FL,3,"Orlando-Kissimmee-Sanford, FL",2572962,0,7,6,7,8,7,8,8,8,10,4,-12,4,0,0,-4,1,28.5383355,-81.3792365
47,HI,3,"Urban Honolulu, HI",980080,0,10,9,11,12,11,12,12,13,16,0,0,0,0,0,0,4,21.3069444,-157.8583333
9,MidAtl,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6249950,1,29,25,32,33,31,34,36,39,49,16,-34,-65,0,0,-83,1,38.9071923,-77.0368707
36,MidAtl,3,"Nashville-Davidson--Murfreesboro--Franklin, TN",1930961,0,3,3,4,4,3,4,4,4,5,0,-6,6,0,0,0,2,36.1626638,-86.7816016
27,MidAtl,2,"Baltimore-Columbia-Towson, MD",2802789,1,7,6,7,7,7,7,8,9,11,4,-19,12,0,0,-3,1,39.2903848,-76.6121893
17,MidAtl,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6096372,1,18,16,19,19,18,21,19,21,27,10,-10,-10,58,0,48,1,39.9525839,-75.1652215
18,Mountain,2,"Denver-Aurora-Lakewood, CO",2932415,1,13,11,14,15,14,15,16,17,21,6,-16,-21,0,0,-31,1,39.7392358,-104.990251
49,Mountain,3,"Salt Lake City, UT",1222540,0,3,3,4,3,3,4,4,4,5,0,-5,0,0,0,-5,2,40.7607793,-111.8910474
5,NE,2,"New York-Newark-Jersey City, NY-NJ-PA",19979477,1,87,77,95,106,103,113,109,116,144,36,-104,-111,120,0,-59,1,40.7127837,-74.0059413
16,NE,2,"Boston-Cambridge-Newton, MA-NH",4875390,1,25,22,27,28,26,30,29,31,39,0,-35,-35,0,0,-70,2,42.3600825,-71.0588801
48,NE,3,"Bridgeport-Stamford-Norwalk, CT",943823,1,5,4,5,6,5,6,6,6,8,0,-12,8,0,0,-4,2,41.1865478,-73.1951767
70,NE,3,"Albany-Schenectady-Troy, NY",883169,1,5,5,5,5,5,6,5,5,6,0,-12,8,0,0,-4,2,42.6525793,-73.7562317
42,NorCal,3,"Fresno, CA",994400,1,3,2,3,3,2,3,3,3,4,-7,0,0,7,0,0,1,36.7468422,-119.7725868
14,NorCal,3,"Sacramento-Roseville-Folsom, CA",2345210,1,18,17,19,20,19,22,20,22,28,-35,-24,0,13,0,-46,2,38.5815719,-121.4943996
3,NorCal,1,"San Jose-Sunnyvale-Santa Clara, CA",1999107,1,91,80,101,102,96,108,114,125,156,-96,-103,100,19,0,-80,1,37.3382082,-121.8863286
2,NorCal,1,"San Francisco-Oakland-Berkeley, CA",4729484,1,132,115,146,148,139,156,166,180,225,0,-22,120,29,0,127,1,37.7749295,-122.4194155
11,PNW,2,"Portland-Vancouver-Hillsboro, OR-WA",2478810,1,16,14,17,17,17,19,19,21,26,12,-24,-20,16,0,-16,1,45.5230622,-122.6764816
4,PNW,1,"Seattle-Tacoma-Bellevue, WA",3939363,1,45,39,49,51,48,54,56,60,75,-44,-64,32,32,0,-44,1,47.6062095,-122.3320708
20,SCEN,2,"Austin-Round Rock-Georgetown, TX",2168316,0,8,7,9,9,8,9,10,11,13,0,16,-3,3,0,16,2,30.267153,-97.7430608
13,SCEN,2,"Dallas-Fort Worth-Arlington, TX",7539711,0,21,18,23,23,22,24,25,27,34,16,30,24,89,0,159,1,32.7766642,-96.7969879
19,SCEN,2,"Houston-The Woodlands-Sugar Land, TX",6997384,0,13,12,15,16,15,16,17,18,23,20,11,5,54,0,90,1,29.7604267,-95.3698028
35,SCEN,1,"San Antonio-New Braunfels, TX",2518036,0,2,2,3,3,3,3,3,3,4,10,2,12,15,0,39,1,29.4241219,-98.4936282
65,SCEN,3,"Tulsa, OK",993797,0,3,2,3,2,2,2,3,3,4,0,0,0,0,0,0,4,36.1539816,-95.992775
8,SE,2,"Atlanta-Sandy Springs-Alpharetta, GA",5949951,0,22,19,23,23,22,25,24,27,34,0,-21,-22,43,0,0,2,33.7489954,-84.3879824
61,SE,1,"Durham-Chapel Hill, NC",575412,0,3,2,3,3,3,3,3,4,4,4,-7,8,8,0,13,1,35.9940329,-78.898619
54,SE,3,"Raleigh-Cary, NC",1362540,0,2,2,3,2,2,3,3,3,3,0,-9,0,12,0,3,4,35.7795897,-78.6381787
23,SE,2,"Charlotte-Concord-Gastonia, NC-SC",2569213,0,4,3,4,4,4,4,4,5,6,2,-5,12,0,0,9,1,35.2270869,-80.8431267
6,SoCal,2,"San Diego-Chula Vista-Carlsbad, CA",3343364,1,32,28,35,35,33,37,39,43,53,70,-60,-70,60,0,0,1,32.715738,-117.1610838
62,SoCal,3,"Oxnard-Thousand Oaks-Ventura, CA",850967,1,5,4,5,5,5,5,6,6,7,-19,0,18,0,0,-1,3,34.1975048,-119.1770516
15,SoCal,3,"Riverside-San Bernardino-Ontario, CA",4622361,1,14,13,16,16,14,16,17,18,23,-15,-8,24,0,0,1,1,33.9533487,-117.3961564
1,SoCal,1,"Los Angeles-Long Beach-Anaheim, CA",13291486,1,259,228,287,301,286,319,329,356,443,-142,-194,152,184,0,0,1,34.0522342,-118.2436849
